Term,Dominant_Subject
cdot,chemistry
cease,chemistry
ceiling,physics
cell,chemistry
cellulose,chemistry
center,physics
centre,physics
centroid,mathematics
certain,physics
ch2,chemistry
ch2br,chemistry
ch2c6h5,chemistry
ch2ch3,chemistry
ch2cooh,chemistry
ch2ph,chemistry
ch3,chemistry
ch3ch2i,chemistry
ch3ch2o,chemistry
ch3cl,chemistry
ch3cocl,chemistry
ch3cooh,chemistry
ch3i,chemistry
ch3mgbr,chemistry
ch4,chemistry
chain,chemistry
chalcopyrite,chemistry
chamber,physics
chance,mathematics
change,physics
character,chemistry
characteristic,chemistry
charcoal,chemistry
charge,physics
chci,chemistry
chemical,chemistry
chemisorption,chemistry
chemistry,chemistry
chi,chemistry
chimney,physics
chlorate,chemistry
chloric,chemistry
chloride,chemistry
chlorine,chemistry
chloro,chemistry
chloroaniline,chemistry
chlorobenzene,chemistry
chlorobenzoate,chemistry
chlorobenzoic,chemistry
chloroform,chemistry
chloromethane,chemistry
chloroprene,chemistry
chlorotoluene,chemistry
chlorus,chemistry
cho,chemistry
choh,chemistry
chord,mathematics
chosen,mathematics
chromate,chemistry
chromium,chemistry
ci,chemistry
ci2,chemistry
cif,chemistry
cio3,chemistry
circle,mathematics
circuit,physics
circular,physics
circulation,physics
circum,mathematics
circumcentre,mathematics
circumcircle,mathematics
circumference,physics
ckg,physics
cl2,chemistry
clamp,physics
clarity,chemistry
class,chemistry
clf,chemistry
climb,physics
clo,chemistry
clo2,chemistry
clockwise,physics
close,physics
closest,physics
cloth,chemistry
cloud,chemistry
club,mathematics
cmc,chemistry
co2,chemistry
coagulating,physics
cobalt,chemistry
cobr,chemistry
coch,chemistry
cochin,chemistry
cocl,chemistry
cocl4,chemistry
code,chemistry
coefficient,physics
cof,chemistry
coherent,physics
coil,physics
coin,mathematics
coincide,physics
coincident,physics
coincides,physics
coinciding,physics
coke,chemistry
col,mathematics
collection,physics
collide,chemistry
collides,physics
collinear,mathematics
collision,physics
colloid,chemistry
colloidal,chemistry
color,chemistry
coloration,chemistry
colorless,chemistry
colour,chemistry
colourless,chemistry
comb,physics
combination,chemistry
combustion,chemistry
come,chemistry
committee,mathematics
compartment,physics
complement,mathematics
completion,chemistry
complex,chemistry
component,physics
composition,chemistry
compound,chemistry
compressibility,chemistry
compression,physics
computer,mathematics
concave,physics
concentration,chemistry
concept,chemistry
condensation,chemistry
condition,chemistry
conductance,chemistry
conducting,physics
conduction,physics
conductivity,chemistry
conductor,physics
cone,physics
configuration,physics
conformation,chemistry
conformers,chemistry
congruent,mathematics
conh,chemistry
conic,mathematics
conjugate,mathematics
conjugation,chemistry
conservation,physics
considering,physics
consist,chemistry
consisting,physics
consists,chemistry
